# Nx1 = 128
# x1-size = 1
# Nx2 = 128
# x2-size = 1
# PRIMITIVE vars at Time = 5.00074, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=V1 [7]=V2 [8]=V3 [9]=P
   4   4 3.90625000e-03 3.90625000e-03 2.11073362e+00 -2.90147575e-01 3.49488392e-04 0.00000000e+00 1.09503876e+00
   5   4 1.17187500e-02 3.90625000e-03 2.11020294e+00 -2.90538389e-01 2.27532925e-04 0.00000000e+00 1.09456724e+00
   6   4 1.95312500e-02 3.90625000e-03 2.10887179e+00 -2.91218227e-01 6.10457724e-05 0.00000000e+00 1.09340504e+00
   7   4 2.73437500e-02 3.90625000e-03 2.10686909e+00 -2.92043750e-01 -8.23342966e-05 0.00000000e+00 1.09165734e+00
   8   4 3.51562500e-02 3.90625000e-03 2.10413680e+00 -2.93128201e-01 -1.84593328e-04 0.00000000e+00 1.08928031e+00
   9   4 4.29687500e-02 3.90625000e-03 2.10081487e+00 -2.94494906e-01 -1.88442795e-04 0.00000000e+00 1.08640470e+00
  10   4 5.07812500e-02 3.90625000e-03 2.09761985e+00 -2.95755939e-01 -4.40719225e-07 0.00000000e+00 1.08364536e+00
  11   4 5.85937500e-02 3.90625000e-03 2.09597097e+00 -2.96588964e-01 2.16516047e-04 0.00000000e+00 1.08222300e+00
  12   4 6.64062500e-02 3.90625000e-03 2.09598706e+00 -2.96905347e-01 4.35794365e-04 0.00000000e+00 1.08223576e+00
  13   4 7.42187500e-02 3.90625000e-03 2.09742106e+00 -2.96689316e-01 5.77134345e-04 0.00000000e+00 1.08347089e+00
  14   4 8.20312500e-02 3.90625000e-03 2.10008104e+00 -2.96302028e-01 4.73911684e-04 0.00000000e+00 1.08576363e+00
  15   4 8.98437500e-02 3.90625000e-03 2.10158588e+00 -2.96221840e-01 1.23657810e-04 0.00000000e+00 1.08706048e+00
  16   4 9.76562500e-02 3.90625000e-03 2.10144331e+00 -2.96853998e-01 -4.12233596e-04 0.00000000e+00 1.08693267e+00
  17   4 1.05468750e-01 3.90625000e-03 2.09701211e+00 -2.99155118e-01 -1.02080138e-03 0.00000000e+00 1.08311097e+00
  18   4 1.13281250e-01 3.90625000e-03 2.08882540e+00 -3.03036528e-01 -1.43372824e-03 0.00000000e+00 1.07607418e+00
  19   4 1.21093750e-01 3.90625000e-03 2.08033452e+00 -3.07337179e-01 -1.39908986e-03 0.00000000e+00 1.06880031e+00
  20   4 1.28906250e-01 3.90625000e-03 2.07511453e+00 -3.11545442e-01 -1.18560890e-03 0.00000000e+00 1.06437168e+00
  21   4 1.36718750e-01 3.90625000e-03 2.07501776e+00 -3.13951064e-01 -1.14372142e-03 0.00000000e+00 1.06430316e+00
  22   4 1.44531250e-01 3.90625000e-03 2.07860882e+00 -3.16783816e-01 -1.14959263e-03 0.00000000e+00 1.06738890e+00
  23   4 1.52343750e-01 3.90625000e-03 2.08379513e+00 -3.18895228e-01 -1.11999849e-03 0.00000000e+00 1.07186490e+00
  24   4 1.60156250e-01 3.90625000e-03 2.08910339e+00 -3.20719857e-01 -8.53390551e-04 0.00000000e+00 1.07644690e+00
  25   4 1.67968750e-01 3.90625000e-03 2.09181635e+00 -3.21424608e-01 -4.41491871e-04 0.00000000e+00 1.07879618e+00
  26   4 1.75781250e-01 3.90625000e-03 2.09211316e+00 -3.21250919e-01 -5.95114755e-05 0.00000000e+00 1.07905778e+00
  27   4 1.83593750e-01 3.90625000e-03 2.09055347e+00 -3.20620579e-01 3.01208350e-04 0.00000000e+00 1.07771891e+00
  28   4 1.91406250e-01 3.90625000e-03 2.08688923e+00 -3.19196082e-01 6.36340504e-04 0.00000000e+00 1.07456981e+00
  29   4 1.99218750e-01 3.90625000e-03 2.08260198e+00 -3.17507637e-01 8.07411543e-04 0.00000000e+00 1.07088399e+00
  30   4 2.07031250e-01 3.90625000e-03 2.07925827e+00 -3.15929210e-01 7.71832780e-04 0.00000000e+00 1.06800090e+00
  31   4 2.14843750e-01 3.90625000e-03 2.07795072e+00 -3.14900993e-01 5.48431436e-04 0.00000000e+00 1.06685893e+00
  32   4 2.22656250e-01 3.90625000e-03 2.07849793e+00 -3.14274931e-01 3.03090317e-04 0.00000000e+00 1.06730587e+00
  33   4 2.30468750e-01 3.90625000e-03 2.08048589e+00 -3.14080272e-01 9.42534314e-05 0.00000000e+00 1.06897878e+00
  34   4 2.38281250e-01 3.90625000e-03 2.08329821e+00 -3.14132031e-01 -4.58841794e-06 0.00000000e+00 1.07136929e+00
  35   4 2.46093750e-01 3.90625000e-03 2.08600534e+00 -3.14118917e-01 -9.55221447e-06 0.00000000e+00 1.07367476e+00
  36   4 2.53906250e-01 3.90625000e-03 2.08827017e+00 -3.13926889e-01 3.31407466e-05 0.00000000e+00 1.07560322e+00
  37   4 2.61718750e-01 3.90625000e-03 2.08991699e+00 -3.13500752e-01 9.21692061e-05 0.00000000e+00 1.07700471e+00
  38   4 2.69531250e-01 3.90625000e-03 2.09096061e+00 -3.12969713e-01 1.50749766e-04 0.00000000e+00 1.07789335e+00
  39   4 2.77343750e-01 3.90625000e-03 2.09141664e+00 -3.12328552e-01 1.67309168e-04 0.00000000e+00 1.07828173e+00
  40   4 2.85156250e-01 3.90625000e-03 2.09140973e+00 -3.11831497e-01 1.39944161e-04 0.00000000e+00 1.07827461e+00
  41   4 2.92968750e-01 3.90625000e-03 2.09128714e+00 -3.11411168e-01 7.10526882e-05 0.00000000e+00 1.07817020e+00
  42   4 3.00781250e-01 3.90625000e-03 2.09135257e+00 -3.11222593e-01 1.53155923e-07 0.00000000e+00 1.07822751e+00
  43   4 3.08593750e-01 3.90625000e-03 2.09158936e+00 -3.11121736e-01 -5.05036648e-05 0.00000000e+00 1.07843099e+00
  44   4 3.16406250e-01 3.90625000e-03 2.09208513e+00 -3.11063301e-01 -7.11541417e-05 0.00000000e+00 1.07885650e+00
  45   4 3.24218750e-01 3.90625000e-03 2.09280945e+00 -3.10961289e-01 -7.22598300e-05 0.00000000e+00 1.07947820e+00
  46   4 3.32031250e-01 3.90625000e-03 2.09350875e+00 -3.10755506e-01 -5.23769927e-05 0.00000000e+00 1.08007763e+00
  47   4 3.39843750e-01 3.90625000e-03 2.09418969e+00 -3.10485306e-01 -2.78425936e-05 0.00000000e+00 1.08065952e+00
  48   4 3.47656250e-01 3.90625000e-03 2.09481340e+00 -3.10223176e-01 -2.40950306e-05 0.00000000e+00 1.08119212e+00
  49   4 3.55468750e-01 3.90625000e-03 2.09545181e+00 -3.09949498e-01 -3.58980310e-05 0.00000000e+00 1.08174020e+00
  50   4 3.63281250e-01 3.90625000e-03 2.09630322e+00 -3.09613902e-01 -4.27540461e-05 0.00000000e+00 1.08247122e+00
  51   4 3.71093750e-01 3.90625000e-03 2.09743599e+00 -3.09301291e-01 -5.38269702e-05 0.00000000e+00 1.08344642e+00
  52   4 3.78906250e-01 3.90625000e-03 2.09890696e+00 -3.09013875e-01 -5.57619187e-05 0.00000000e+00 1.08471332e+00
  53   4 3.86718750e-01 3.90625000e-03 2.10086947e+00 -3.08686311e-01 -1.24181978e-04 0.00000000e+00 1.08640471e+00
  54   4 3.94531250e-01 3.90625000e-03 2.10298729e+00 -3.08331711e-01 -2.20902341e-04 0.00000000e+00 1.08823001e+00
  55   4 4.02343750e-01 3.90625000e-03 2.10480881e+00 -3.08194396e-01 -3.35226511e-04 0.00000000e+00 1.08979925e+00
