# Nx1 = 64
# x1-size = 1
# Nx2 = 64
# x2-size = 1
# PRIMITIVE vars at Time = 4.00289, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=V1 [7]=V2 [8]=V3 [9]=P
  4  4 7.81250000e-03 7.81250000e-03 1.92695762e+00 -2.96214602e-01 8.73088088e-04 0.00000000e+00 9.40670405e-01
  5  4 2.34375000e-02 7.81250000e-03 1.92552756e+00 -2.96866588e-01 8.20223879e-04 0.00000000e+00 9.39506511e-01
  6  4 3.90625000e-02 7.81250000e-03 1.92399028e+00 -2.97622990e-01 7.95120788e-04 0.00000000e+00 9.38255871e-01
  7  4 5.46875000e-02 7.81250000e-03 1.92267762e+00 -2.98416348e-01 7.83892550e-04 0.00000000e+00 9.37188753e-01
  8  4 7.03125000e-02 7.81250000e-03 1.92182704e+00 -2.99136673e-01 7.77260079e-04 0.00000000e+00 9.36497390e-01
  9  4 8.59375000e-02 7.81250000e-03 1.92133158e+00 -2.99747286e-01 7.80807493e-04 0.00000000e+00 9.36093274e-01
 10  4 1.01562500e-01 7.81250000e-03 1.92124431e+00 -3.00131623e-01 7.88111149e-04 0.00000000e+00 9.36020929e-01
 11  4 1.17187500e-01 7.81250000e-03 1.92126870e+00 -3.00429559e-01 8.04278683e-04 0.00000000e+00 9.36038459e-01
 12  4 1.32812500e-01 7.81250000e-03 1.92109893e+00 -3.00634455e-01 8.51600334e-04 0.00000000e+00 9.35899164e-01
 13  4 1.48437500e-01 7.81250000e-03 1.92067213e+00 -3.00800482e-01 9.30390549e-04 0.00000000e+00 9.35550454e-01
 14  4 1.64062500e-01 7.81250000e-03 1.92005504e+00 -3.00941920e-01 1.03300761e-03 0.00000000e+00 9.35047857e-01
 15  4 1.79687500e-01 7.81250000e-03 1.91947815e+00 -3.01079032e-01 1.15841778e-03 0.00000000e+00 9.34577836e-01
 16  4 1.95312500e-01 7.81250000e-03 1.91913060e+00 -3.01185579e-01 1.28064087e-03 0.00000000e+00 9.34294596e-01
 17  4 2.10937500e-01 7.81250000e-03 1.91904081e+00 -3.01251477e-01 1.37265817e-03 0.00000000e+00 9.34221205e-01
 18  4 2.26562500e-01 7.81250000e-03 1.91920374e+00 -3.01328080e-01 1.44620824e-03 0.00000000e+00 9.34352521e-01
 19  4 2.42187500e-01 7.81250000e-03 1.91949777e+00 -3.01422973e-01 1.48248056e-03 0.00000000e+00 9.34590784e-01
 20  4 2.57812500e-01 7.81250000e-03 1.91969821e+00 -3.01575094e-01 1.48850153e-03 0.00000000e+00 9.34753272e-01
 21  4 2.73437500e-01 7.81250000e-03 1.91987093e+00 -3.01810837e-01 1.45309051e-03 0.00000000e+00 9.34893353e-01
 22  4 2.89062500e-01 7.81250000e-03 1.91998975e+00 -3.02119520e-01 1.39673201e-03 0.00000000e+00 9.34989782e-01
 23  4 3.04687500e-01 7.81250000e-03 1.92006453e+00 -3.02513391e-01 1.31825468e-03 0.00000000e+00 9.35051188e-01
 24  4 3.20312500e-01 7.81250000e-03 1.92004027e+00 -3.02991958e-01 1.22802159e-03 0.00000000e+00 9.35032962e-01
 25  4 3.35937500e-01 7.81250000e-03 1.91985681e+00 -3.03540199e-01 1.14465170e-03 0.00000000e+00 9.34885233e-01
 26  4 3.51562500e-01 7.81250000e-03 1.91959399e+00 -3.04118145e-01 1.08164536e-03 0.00000000e+00 9.34672817e-01
